runs	id	datetime	bid	ask
18	8	2022-03-04 23:51:29.786299	125.717	125.722
18	9	2022-03-04 23:51:39.793314	125.715	125.72
18	10	2022-03-04 23:51:49.785545	125.694	125.699
18	11	2022-03-04 23:51:59.791480	125.708	125.713
18	12	2022-03-04 23:52:09.808443	125.681	125.686
18	13	2022-03-04 23:52:19.802458	125.683	125.688
18	14	2022-03-04 23:52:29.776326	125.676	125.681
18	15	2022-03-04 23:52:39.782101	125.676	125.681
19	1	2022-03-04 23:55:14.717063	125.608	125.613
19	2	2022-03-04 23:55:24.695253	125.617	125.622
19	3	2022-03-04 23:55:34.628702	125.614	125.619
19	4	2022-03-04 23:55:44.700365	125.622	125.627
19	5	2022-03-04 23:55:54.754908	125.613	125.618
19	6	2022-03-04 23:56:04.607682	125.622	125.627
19	7	2022-03-04 23:56:14.693844	125.621	125.626
19	8	2022-03-04 23:56:24.653913	125.637	125.642
19	9	2022-03-04 23:56:34.578255	125.636	125.641
19	10	2022-03-04 23:56:44.655746	125.627	125.632
19	11	2022-03-04 23:56:54.696583	125.63	125.635
19	12	2022-03-04 23:57:04.585572	125.633	125.638
19	13	2022-03-04 23:57:14.570913	125.634	125.643
19	14	2022-03-04 23:57:24.598459	125.638	125.643
19	15	2022-03-04 23:57:34.634742	125.636	125.641
19	16	2022-03-04 23:57:44.659438	125.638	125.643
19	17	2022-03-04 23:57:54.631956	125.638	125.643
19	18	2022-03-04 23:58:04.602716	125.634	125.639
19	19	2022-03-04 23:58:14.615232	125.615	125.62
19	20	2022-03-04 23:58:24.651696	125.612	125.617
19	21	2022-03-04 23:58:34.633181	125.619	125.624
20	1	2022-03-05 08:59:20.607057	125.624	125.635
20	2	2022-03-05 08:59:30.595124	125.624	125.635
20	3	2022-03-05 08:59:40.550745	125.624	125.635
20	4	2022-03-05 08:59:50.669609	125.624	125.635
20	5	2022-03-05 09:00:00.579154	125.624	125.635
20	6	2022-03-05 09:00:10.559439	125.624	125.635
20	7	2022-03-05 09:00:20.581163	125.624	125.635
20	8	2022-03-05 09:00:30.584715	125.624	125.635
20	9	2022-03-05 09:00:40.597106	125.624	125.635
20	10	2022-03-05 09:00:50.589859	125.624	125.635
21	1	2022-03-05 20:40:14	125.624	125.635
21	2	2022-03-05 20:40:24	125.624	125.635
21	3	2022-03-05 20:40:34	125.624	125.635
21	4	2022-03-05 20:40:44	125.624	125.635
21	5	2022-03-05 20:40:54	125.624	125.635
21	6	2022-03-05 20:41:04	125.624	125.635
21	7	2022-03-05 20:41:14	125.624	125.635
21	8	2022-03-05 20:41:24	125.624	125.635
21	9	2022-03-05 20:41:34	125.624	125.635
21	10	2022-03-05 20:41:44	125.624	125.635
21	11	2022-03-05 20:41:54	125.624	125.635
21	12	2022-03-05 20:42:04	125.624	125.635
21	13	2022-03-05 20:42:14	125.624	125.635
22	1	2022-03-07 20:35:17	124.663	124.668
22	2	2022-03-07 20:35:27	124.665	124.67
22	3	2022-03-07 20:35:37	124.665	124.67
22	4	2022-03-07 20:35:47	124.66	124.674
22	5	2022-03-07 20:35:57	124.664	124.669
22	6	2022-03-07 20:36:07	124.661	124.666
22	7	2022-03-07 20:36:17	124.659	124.664
22	8	2022-03-07 20:36:27	124.66	124.665
22	9	2022-03-07 20:36:37	124.659	124.664
22	10	2022-03-07 20:36:47	124.667	124.672
22	11	2022-03-07 20:36:58	124.659	124.664
22	12	2022-03-07 20:37:07	124.656	124.661
22	13	2022-03-07 20:37:17	124.658	124.663
22	14	2022-03-07 20:37:27	124.658	124.663
22	15	2022-03-07 20:37:37	124.658	124.663
22	16	2022-03-07 20:37:47	124.656	124.661
22	17	2022-03-07 20:37:57	124.657	124.662
22	18	2022-03-07 20:38:07	124.649	124.654
22	19	2022-03-07 20:38:17	124.642	124.647
22	20	2022-03-07 20:38:27	124.641	124.646
22	21	2022-03-07 20:38:37	124.649	124.654
